data,trans method,mae,mse,r2
ai_uniform,maxintensity,0.003656935170756182,2.6904142043473363e-05,0.9999196529388428
ai_uniform,average,0.004869533705620021,6.291526780650526e-05,0.9998130202293396
ai_random,maxintensity,0.007677140759905694,0.0003535004197400772,0.9989513754844666
ai_random,average,0.0146174460554609,0.0008438602965905065,0.997536301612854
real,average,0.14096891487209778,0.0699604838107204,0.7893493175506592
real,maxintensity,0.14108558366549873,0.07022252441750712,0.7898482084274292
