number,value,datetime_start,datetime_complete,duration,blocks,kernel_size,learning_rate,modelSeed,optimizer,padding,stride,user_attrs_datatype,user_attrs_transform,state,inner_fold,outer_fold
25,0.162113667,2023-07-01 05:52:07.657665,2023-07-01 05:54:59.459193,0 days 00:02:51.801528,4,7,0.0109,73,SGD,4,2,,transform_padding,COMPLETE,3,0
26,0.146937132,2023-07-01 05:54:59.459193,2023-07-01 05:57:51.673058,0 days 00:02:52.213865,4,7,0.0917,92,SGD,4,2,,transform_padding,COMPLETE,3,0
27,0.333819032,2023-07-01 05:57:51.674058,2023-07-01 05:59:17.378709,0 days 00:01:25.704651,3,3,0.0994,64,Adam,2,4,,transform_padding,COMPLETE,3,0
28,0.554809928,2023-07-01 05:59:17.378709,2023-07-01 06:01:50.811458,0 days 00:02:33.432749,4,5,0.0505,92,RMSprop,4,2,,transform_padding,COMPLETE,3,0
29,0.32707414,2023-07-01 06:01:50.811458,2023-07-01 06:03:13.536000,0 days 00:01:22.724542,5,7,0.052,82,SGD,6,6,,transform_padding,COMPLETE,3,0
30,0.554255426,2023-07-01 06:03:13.536000,2023-07-01 06:05:20.961006,0 days 00:02:07.425006,5,7,0.0912,74,Adam,4,2,,transform_padding,COMPLETE,3,0
31,0.16157414,2023-07-01 06:05:20.961006,2023-07-01 06:08:12.625976,0 days 00:02:51.664970,4,7,0.0285,94,SGD,4,2,,transform_padding,COMPLETE,3,0
32,0.152860671,2023-07-01 06:08:12.625976,2023-07-01 06:11:05.231607,0 days 00:02:52.605631,4,7,0.0224,93,SGD,4,2,,transform_padding,COMPLETE,3,0
33,0.146578789,2023-07-01 06:11:05.233109,2023-07-01 06:13:56.541471,0 days 00:02:51.308362,4,7,0.0477,84,SGD,4,2,,transform_padding,COMPLETE,3,0
34,0.15014194,2023-07-01 06:13:56.541471,2023-07-01 06:16:48.710035,0 days 00:02:52.168564,4,7,0.0567,59,SGD,4,2,,transform_padding,COMPLETE,3,0
35,0.146233231,2023-07-01 06:16:48.710035,2023-07-01 06:19:34.404969,0 days 00:02:45.694934,4,7,0.0486,75,SGD,2,2,,transform_padding,COMPLETE,3,0
36,10000,2023-07-01 06:19:34.404969,2023-07-01 06:19:34.415250,0 days 00:00:00.010281,5,7,0.0712,86,RMSprop,2,6,,transform_padding,COMPLETE,3,0
37,0.19882977,2023-07-01 06:19:34.415250,2023-07-01 06:24:40.453488,0 days 00:05:06.038238,3,7,0.0529,84,Adam,2,2,,transform_padding,COMPLETE,3,0
38,0.147739202,2023-07-01 06:24:40.453488,2023-07-01 06:27:25.816905,0 days 00:02:45.363417,4,7,0.0233,20,SGD,2,2,,transform_padding,COMPLETE,3,0
39,0.554875016,2023-07-01 06:27:25.816905,2023-07-01 06:28:41.489658,0 days 00:01:15.672753,5,3,0.0987,43,RMSprop,2,4,,transform_padding,COMPLETE,3,0
40,0.145165101,2023-07-01 06:28:41.489658,2023-07-01 06:31:25.661001,0 days 00:02:44.171343,4,7,0.0603,61,SGD,2,2,,transform_padding,COMPLETE,3,0
41,0.140701979,2023-07-01 06:31:25.662001,2023-07-01 06:34:11.781962,0 days 00:02:46.119961,4,7,0.0522,60,SGD,2,2,,transform_padding,COMPLETE,3,0
0,0.520929277,2023-07-01 06:34:12.674362,2023-07-01 06:36:19.595880,0 days 00:02:06.921518,5,7,0.0635,38,Adam,4,2,,transform_padding,COMPLETE,4,0
1,10000,2023-07-01 06:36:19.595880,2023-07-01 06:36:19.602880,0 days 00:00:00.007000,5,7,0.0005,53,RMSprop,2,6,,transform_padding,COMPLETE,4,0
2,0.161501154,2023-07-01 06:36:19.602880,2023-07-01 06:38:21.123718,0 days 00:02:01.520838,5,7,0.0171,97,SGD,4,2,,transform_padding,COMPLETE,4,0
3,0.145815402,2023-07-01 06:38:21.123718,2023-07-01 06:41:12.743579,0 days 00:02:51.619861,4,7,0.0573,78,SGD,4,2,,transform_padding,COMPLETE,4,0
4,0.352242947,2023-07-01 06:41:12.743579,2023-07-01 06:42:37.732379,0 days 00:01:24.988800,3,3,0.0886,8,Adam,2,4,,transform_padding,COMPLETE,4,0
5,0.450311869,2023-07-01 06:42:37.732379,2023-07-01 06:44:41.986088,0 days 00:02:04.253709,5,7,0.0083,33,RMSprop,4,2,,transform_padding,COMPLETE,4,0
6,0.244586349,2023-07-01 06:44:41.986088,2023-07-01 06:46:07.669473,0 days 00:01:25.683385,3,7,0.0011,32,Adam,6,6,,transform_padding,COMPLETE,4,0
7,0.164777577,2023-07-01 06:46:07.669473,2023-07-01 06:47:50.395932,0 days 00:01:42.726459,5,5,0.017,54,Adam,2,2,,transform_padding,COMPLETE,4,0
8,0.179358035,2023-07-01 06:47:50.395932,2023-07-01 06:50:31.137802,0 days 00:02:40.741870,4,3,0.0065,52,RMSprop,6,2,,transform_padding,COMPLETE,4,0
9,0.247460172,2023-07-01 06:50:31.137802,2023-07-01 06:51:55.340943,0 days 00:01:24.203141,4,7,0.0876,49,SGD,4,4,,transform_padding,COMPLETE,4,0
10,0.437467664,2023-07-01 06:51:55.340943,2023-07-01 06:53:19.984568,0 days 00:01:24.643625,4,5,0,94,SGD,4,4,,transform_padding,COMPLETE,4,0
11,0.158193991,2023-07-01 06:53:19.984568,2023-07-01 06:56:10.442249,0 days 00:02:50.457681,4,7,0.0137,99,SGD,4,2,,transform_padding,COMPLETE,4,0
12,0.16880244,2023-07-01 06:56:10.442249,2023-07-01 06:59:02.566456,0 days 00:02:52.124207,4,7,0.003,76,SGD,4,2,,transform_padding,COMPLETE,4,0
13,0.153934956,2023-07-01 06:59:02.566456,2023-07-01 07:01:54.388156,0 days 00:02:51.821700,4,7,0.0296,78,SGD,4,2,,transform_padding,COMPLETE,4,0
14,0.153974399,2023-07-01 07:01:54.388156,2023-07-01 07:04:15.657116,0 days 00:02:21.268960,4,3,0.0359,70,SGD,4,2,,transform_padding,COMPLETE,4,0
15,0.367279053,2023-07-01 07:04:15.657116,2023-07-01 07:05:29.111524,0 days 00:01:13.454408,4,5,0.0336,79,SGD,6,6,,transform_padding,COMPLETE,4,0
16,0.134031847,2023-07-01 07:05:29.111524,2023-07-01 07:08:19.467747,0 days 00:02:50.356223,4,7,0.091,84,SGD,4,2,,transform_padding,COMPLETE,4,0
17,0.150835812,2023-07-01 07:08:19.467747,2023-07-01 07:13:28.221643,0 days 00:05:08.753896,3,7,0.0853,65,SGD,4,2,,transform_padding,COMPLETE,4,0
18,0.567923665,2023-07-01 07:13:28.222643,2023-07-01 07:14:43.009942,0 days 00:01:14.787299,4,3,0.0039,87,SGD,2,6,,transform_padding,COMPLETE,4,0
19,0.567772865,2023-07-01 07:14:43.009942,2023-07-01 07:16:08.923183,0 days 00:01:25.913241,4,5,0.0329,64,RMSprop,6,4,,transform_padding,COMPLETE,4,0
20,0.155203208,2023-07-01 07:16:08.923183,2023-07-01 07:21:17.243152,0 days 00:05:08.319969,3,7,0.0976,88,SGD,4,2,,transform_padding,COMPLETE,4,0
21,0.145404607,2023-07-01 07:21:17.243152,2023-07-01 07:26:25.543486,0 days 00:05:08.300334,3,7,0.0954,63,SGD,4,2,,transform_padding,COMPLETE,4,0
22,0.156482339,2023-07-01 07:26:25.544486,2023-07-01 07:31:34.688632,0 days 00:05:09.144146,3,7,0.0376,86,SGD,4,2,,transform_padding,COMPLETE,4,0
23,0.161258698,2023-07-01 07:31:34.688632,2023-07-01 07:36:43.031410,0 days 00:05:08.342778,3,7,0.0153,62,SGD,4,2,,transform_padding,COMPLETE,4,0
24,0.154543251,2023-07-01 07:36:43.031410,2023-07-01 07:41:52.736200,0 days 00:05:09.704790,3,7,0.0595,72,SGD,4,2,,transform_padding,COMPLETE,4,0
25,0.140872806,2023-07-01 07:41:52.736200,2023-07-01 07:44:44.457926,0 days 00:02:51.721726,4,7,0.0445,81,SGD,4,2,,transform_padding,COMPLETE,4,0
26,0.149449646,2023-07-01 07:44:44.457926,2023-07-01 07:49:53.856560,0 days 00:05:09.398634,3,7,0.0254,6,SGD,4,2,,transform_padding,COMPLETE,4,0
27,0.434931278,2023-07-01 07:49:53.856560,2023-07-01 07:51:17.427949,0 days 00:01:23.571389,4,3,0.0994,85,Adam,2,4,,transform_padding,COMPLETE,4,0
28,0.157382414,2023-07-01 07:51:17.428949,2023-07-01 07:55:33.563675,0 days 00:04:16.134726,3,5,0.0414,18,RMSprop,4,2,,transform_padding,COMPLETE,4,0
29,0.318038464,2023-07-01 07:55:33.563675,2023-07-01 07:56:56.167423,0 days 00:01:22.603748,4,7,0.0477,46,SGD,6,6,,transform_padding,COMPLETE,4,0
30,0.231809899,2023-07-01 07:56:56.167423,2023-07-01 07:59:03.588894,0 days 00:02:07.421471,5,7,0.0116,61,Adam,4,2,,transform_padding,COMPLETE,4,0
31,0.142308787,2023-07-01 07:59:03.588894,2023-07-01 08:01:54.834341,0 days 00:02:51.245447,4,7,0.056,83,SGD,4,2,,transform_padding,COMPLETE,4,0
32,0.12988925,2023-07-01 08:01:54.834341,2023-07-01 08:04:47.237459,0 days 00:02:52.403118,4,7,0.0523,70,SGD,4,2,,transform_padding,COMPLETE,4,0
33,0.144849867,2023-07-01 08:04:47.237459,2023-07-01 08:07:38.583941,0 days 00:02:51.346482,4,7,0.0225,95,SGD,4,2,,transform_padding,COMPLETE,4,0
34,0.151201144,2023-07-01 08:07:38.583941,2023-07-01 08:10:30.439407,0 days 00:02:51.855466,4,7,0.048,82,SGD,4,2,,transform_padding,COMPLETE,4,0
35,0.133394271,2023-07-01 08:10:30.440455,2023-07-01 08:13:21.984977,0 days 00:02:51.544522,4,7,0.0546,72,SGD,4,2,,transform_padding,COMPLETE,4,0
36,0.160227731,2023-07-01 08:13:21.984977,2023-07-01 08:16:11.757173,0 days 00:02:49.772196,4,7,0.0212,71,RMSprop,2,2,,transform_padding,COMPLETE,4,0
37,0.326313078,2023-07-01 08:16:11.758171,2023-07-01 08:17:33.903716,0 days 00:01:22.145545,4,7,0.0082,93,SGD,4,6,,transform_padding,COMPLETE,4,0
38,0.537074566,2023-07-01 08:17:33.903716,2023-07-01 08:19:40.268357,0 days 00:02:06.364641,5,7,0.0647,58,Adam,4,2,,transform_padding,COMPLETE,4,0
39,0.168792188,2023-07-01 08:19:40.269358,2023-07-01 08:21:43.071041,0 days 00:02:02.801683,4,3,0.0211,43,SGD,2,2,,transform_padding,COMPLETE,4,0
40,0.324945301,2023-07-01 08:21:43.071041,2023-07-01 08:23:08.323728,0 days 00:01:25.252687,5,7,0.0111,69,RMSprop,4,4,,transform_padding,COMPLETE,4,0
41,0.140833616,2023-07-01 08:23:08.323728,2023-07-01 08:25:59.170616,0 days 00:02:50.846888,4,7,0.0552,90,SGD,4,2,,transform_padding,COMPLETE,4,0
0,0.543678045,2023-07-01 08:42:55.699220,2023-07-01 08:45:02.293144,0 days 00:02:06.593924,5,7,0.0635,38,Adam,4,2,,transform_padding,COMPLETE,0,1
1,10000,2023-07-01 08:45:02.294144,2023-07-01 08:45:02.301148,0 days 00:00:00.007004,5,7,0.0005,53,RMSprop,2,6,,transform_padding,COMPLETE,0,1
2,0.23800537,2023-07-01 08:45:02.301148,2023-07-01 08:47:04.067856,0 days 00:02:01.766708,5,7,0.0171,97,SGD,4,2,,transform_padding,COMPLETE,0,1
3,0.219222188,2023-07-01 08:47:04.067856,2023-07-01 08:49:56.091191,0 days 00:02:52.023335,4,7,0.0573,78,SGD,4,2,,transform_padding,COMPLETE,0,1
4,0.376028776,2023-07-01 08:49:56.091191,2023-07-01 08:51:21.923452,0 days 00:01:25.832261,3,3,0.0886,8,Adam,2,4,,transform_padding,COMPLETE,0,1
5,0.47941798,2023-07-01 08:51:21.923452,2023-07-01 08:53:27.420020,0 days 00:02:05.496568,5,7,0.0083,33,RMSprop,4,2,,transform_padding,COMPLETE,0,1
6,0.270454526,2023-07-01 08:53:27.421020,2023-07-01 08:54:52.830213,0 days 00:01:25.409193,3,7,0.0011,32,Adam,6,6,,transform_padding,COMPLETE,0,1
7,0.393734455,2023-07-01 08:54:52.830213,2023-07-01 08:56:35.382074,0 days 00:01:42.551861,5,5,0.017,54,Adam,2,2,,transform_padding,COMPLETE,0,1
8,0.281791389,2023-07-01 08:56:35.383073,2023-07-01 08:59:17.754780,0 days 00:02:42.371707,4,3,0.0065,52,RMSprop,6,2,,transform_padding,COMPLETE,0,1
9,0.293640256,2023-07-01 08:59:17.754780,2023-07-01 09:00:42.241395,0 days 00:01:24.486615,4,7,0.0876,49,SGD,4,4,,transform_padding,COMPLETE,0,1
10,0.430037916,2023-07-01 09:00:42.241395,2023-07-01 09:02:07.101976,0 days 00:01:24.860581,4,5,0,94,SGD,4,4,,transform_padding,COMPLETE,0,1
11,0.226225346,2023-07-01 09:02:07.101976,2023-07-01 09:04:59.305098,0 days 00:02:52.203122,4,7,0.0137,99,SGD,4,2,,transform_padding,COMPLETE,0,1
12,0.22743091,2023-07-01 09:04:59.305098,2023-07-01 09:07:51.700306,0 days 00:02:52.395208,4,7,0.003,76,SGD,4,2,,transform_padding,COMPLETE,0,1
13,0.223978847,2023-07-01 09:07:51.700306,2023-07-01 09:10:44.312871,0 days 00:02:52.612565,4,7,0.0296,78,SGD,4,2,,transform_padding,COMPLETE,0,1
14,0.24003844,2023-07-01 09:10:44.312871,2023-07-01 09:13:05.996744,0 days 00:02:21.683873,4,3,0.0359,70,SGD,4,2,,transform_padding,COMPLETE,0,1
15,0.435785234,2023-07-01 09:13:05.996744,2023-07-01 09:14:20.316443,0 days 00:01:14.319699,4,5,0.0336,79,SGD,6,6,,transform_padding,COMPLETE,0,1
16,0.213828832,2023-07-01 09:14:20.316443,2023-07-01 09:17:11.347623,0 days 00:02:51.031180,4,7,0.091,84,SGD,4,2,,transform_padding,COMPLETE,0,1
17,0.247342825,2023-07-01 09:17:11.347623,2023-07-01 09:22:20.115361,0 days 00:05:08.767738,3,7,0.0853,65,SGD,4,2,,transform_padding,COMPLETE,0,1
18,0.54415977,2023-07-01 09:22:20.115361,2023-07-01 09:23:35.558598,0 days 00:01:15.443237,4,3,0.0039,87,SGD,2,6,,transform_padding,COMPLETE,0,1
19,0.54265821,2023-07-01 09:23:35.558598,2023-07-01 09:25:01.137769,0 days 00:01:25.579171,4,5,0.0329,64,RMSprop,6,4,,transform_padding,COMPLETE,0,1
20,0.241370738,2023-07-01 09:25:01.137769,2023-07-01 09:30:09.488647,0 days 00:05:08.350878,3,7,0.0976,88,SGD,4,2,,transform_padding,COMPLETE,0,1
21,0.225446492,2023-07-01 09:30:09.489645,2023-07-01 09:33:00.725562,0 days 00:02:51.235917,4,7,0.0319,78,SGD,4,2,,transform_padding,COMPLETE,0,1
22,0.204416335,2023-07-01 09:33:00.725562,2023-07-01 09:35:53.169313,0 days 00:02:52.443751,4,7,0.037,86,SGD,4,2,,transform_padding,COMPLETE,0,1
23,0.218047738,2023-07-01 09:35:53.169313,2023-07-01 09:38:44.461220,0 days 00:02:51.291907,4,7,0.0153,82,SGD,4,2,,transform_padding,COMPLETE,0,1
24,0.222240448,2023-07-01 09:38:44.461220,2023-07-01 09:41:36.613824,0 days 00:02:52.152604,4,7,0.0126,89,SGD,4,2,,transform_padding,COMPLETE,0,1
25,0.211035907,2023-07-01 09:41:36.613824,2023-07-01 09:44:28.346027,0 days 00:02:51.732203,4,7,0.0226,67,SGD,4,2,,transform_padding,COMPLETE,0,1
26,0.206149563,2023-07-01 09:44:28.346027,2023-07-01 09:47:20.481520,0 days 00:02:52.135493,4,7,0.0345,67,SGD,4,2,,transform_padding,COMPLETE,0,1
27,0.358908057,2023-07-01 09:47:20.481520,2023-07-01 09:48:43.201981,0 days 00:01:22.720461,4,3,0.0052,62,Adam,2,4,,transform_padding,COMPLETE,0,1
28,0.242342636,2023-07-01 09:48:43.201981,2023-07-01 09:52:59.074420,0 days 00:04:15.872439,3,5,0.0079,68,RMSprop,4,2,,transform_padding,COMPLETE,0,1
29,0.33298403,2023-07-01 09:52:59.074420,2023-07-01 09:54:21.330995,0 days 00:01:22.256575,4,7,0.0477,39,SGD,6,6,,transform_padding,COMPLETE,0,1
30,0.543732405,2023-07-01 09:54:21.332000,2023-07-01 09:56:27.800019,0 days 00:02:06.468019,5,7,0.0481,10,Adam,4,2,,transform_padding,COMPLETE,0,1
31,0.2175055,2023-07-01 09:56:27.800019,2023-07-01 09:59:20.098519,0 days 00:02:52.298500,4,7,0.0564,71,SGD,4,2,,transform_padding,COMPLETE,0,1
32,0.216294989,2023-07-01 09:59:20.098519,2023-07-01 10:02:11.819000,0 days 00:02:51.720481,4,7,0.0221,58,SGD,4,2,,transform_padding,COMPLETE,0,1
33,0.224272639,2023-07-01 10:02:11.820000,2023-07-01 10:05:04.038899,0 days 00:02:52.218899,4,7,0.0234,46,SGD,4,2,,transform_padding,COMPLETE,0,1
34,0.216566607,2023-07-01 10:05:04.038899,2023-07-01 10:07:55.737833,0 days 00:02:51.698934,4,7,0.0511,85,SGD,4,2,,transform_padding,COMPLETE,0,1
35,0.210097313,2023-07-01 10:07:55.737833,2023-07-01 10:09:58.126698,0 days 00:02:02.388865,5,7,0.065,93,SGD,4,2,,transform_padding,COMPLETE,0,1
36,0.523047805,2023-07-01 10:09:58.126698,2023-07-01 10:11:48.278901,0 days 00:01:50.152203,5,7,0.0128,95,RMSprop,2,2,,transform_padding,COMPLETE,0,1
37,0.427991569,2023-07-01 10:11:48.278901,2023-07-01 10:13:09.683157,0 days 00:01:21.404256,5,7,0.0204,91,SGD,4,6,,transform_padding,COMPLETE,0,1
38,0.542880237,2023-07-01 10:13:09.683157,2023-07-01 10:15:16.559460,0 days 00:02:06.876303,5,7,0.0647,72,Adam,4,2,,transform_padding,COMPLETE,0,1
39,0.255221814,2023-07-01 10:15:16.559460,2023-07-01 10:16:50.202321,0 days 00:01:33.642861,5,3,0.0077,100,SGD,2,2,,transform_padding,COMPLETE,0,1
40,0.274031699,2023-07-01 10:16:50.202321,2023-07-01 10:18:14.369695,0 days 00:01:24.167374,5,7,0.0025,61,RMSprop,4,4,,transform_padding,COMPLETE,0,1
41,0.21658051,2023-07-01 10:18:14.369695,2023-07-01 10:20:16.000865,0 days 00:02:01.631170,5,7,0.0602,83,SGD,4,2,,transform_padding,COMPLETE,0,1
0,0.562560439,2023-07-01 10:20:16.839676,2023-07-01 10:22:23.620051,0 days 00:02:06.780375,5,7,0.0635,38,Adam,4,2,,transform_padding,COMPLETE,1,1
1,10000,2023-07-01 10:22:23.621051,2023-07-01 10:22:23.629624,0 days 00:00:00.008573,5,7,0.0005,53,RMSprop,2,6,,transform_padding,COMPLETE,1,1
2,0.18099159,2023-07-01 10:22:23.629624,2023-07-01 10:24:26.251742,0 days 00:02:02.622118,5,7,0.0171,97,SGD,4,2,,transform_padding,COMPLETE,1,1
3,0.157622874,2023-07-01 10:24:26.251742,2023-07-01 10:27:18.059702,0 days 00:02:51.807960,4,7,0.0573,78,SGD,4,2,,transform_padding,COMPLETE,1,1
4,0.456032693,2023-07-01 10:27:18.059702,2023-07-01 10:28:43.976301,0 days 00:01:25.916599,3,3,0.0886,8,Adam,2,4,,transform_padding,COMPLETE,1,1
5,0.481114686,2023-07-01 10:28:43.976301,2023-07-01 10:30:49.062308,0 days 00:02:05.086007,5,7,0.0083,33,RMSprop,4,2,,transform_padding,COMPLETE,1,1
6,0.283798665,2023-07-01 10:30:49.062308,2023-07-01 10:32:14.144898,0 days 00:01:25.082590,3,7,0.0011,32,Adam,6,6,,transform_padding,COMPLETE,1,1
7,0.513753295,2023-07-01 10:32:14.144898,2023-07-01 10:33:57.035895,0 days 00:01:42.890997,5,5,0.017,54,Adam,2,2,,transform_padding,COMPLETE,1,1
8,0.217559263,2023-07-01 10:33:57.035895,2023-07-01 10:36:38.968752,0 days 00:02:41.932857,4,3,0.0065,52,RMSprop,6,2,,transform_padding,COMPLETE,1,1
9,0.263177931,2023-07-01 10:36:38.968752,2023-07-01 10:38:03.791019,0 days 00:01:24.822267,4,7,0.0876,49,SGD,4,4,,transform_padding,COMPLETE,1,1
10,0.432953089,2023-07-01 10:38:03.791019,2023-07-01 10:39:28.997911,0 days 00:01:25.206892,4,5,0,94,SGD,4,4,,transform_padding,COMPLETE,1,1
11,0.166078925,2023-07-01 10:39:28.997911,2023-07-01 10:42:21.260315,0 days 00:02:52.262404,4,7,0.0137,99,SGD,4,2,,transform_padding,COMPLETE,1,1
12,0.178257793,2023-07-01 10:42:21.261315,2023-07-01 10:45:12.912076,0 days 00:02:51.650761,4,7,0.003,76,SGD,4,2,,transform_padding,COMPLETE,1,1
13,0.158346817,2023-07-01 10:45:12.912076,2023-07-01 10:48:06.078452,0 days 00:02:53.166376,4,7,0.0296,78,SGD,4,2,,transform_padding,COMPLETE,1,1
14,0.188678488,2023-07-01 10:48:06.078452,2023-07-01 10:50:27.463146,0 days 00:02:21.384694,4,3,0.0359,70,SGD,4,2,,transform_padding,COMPLETE,1,1
15,0.347498387,2023-07-01 10:50:27.463146,2023-07-01 10:51:42.257805,0 days 00:01:14.794659,4,5,0.0336,79,SGD,6,6,,transform_padding,COMPLETE,1,1
16,0.152360842,2023-07-01 10:51:42.257805,2023-07-01 10:54:34.821720,0 days 00:02:52.563915,4,7,0.091,84,SGD,4,2,,transform_padding,COMPLETE,1,1
17,0.16445756,2023-07-01 10:54:34.821720,2023-07-01 10:59:44.194196,0 days 00:05:09.372476,3,7,0.0853,65,SGD,4,2,,transform_padding,COMPLETE,1,1
18,0.562826395,2023-07-01 10:59:44.194196,2023-07-01 11:00:58.150874,0 days 00:01:13.956678,4,3,0.0039,87,SGD,2,6,,transform_padding,COMPLETE,1,1
19,0.562547982,2023-07-01 11:00:58.150874,2023-07-01 11:02:24.036769,0 days 00:01:25.885895,4,5,0.0329,64,RMSprop,6,4,,transform_padding,COMPLETE,1,1
20,0.162986025,2023-07-01 11:02:24.037772,2023-07-01 11:07:33.328804,0 days 00:05:09.291032,3,7,0.0976,88,SGD,4,2,,transform_padding,COMPLETE,1,1
21,0.156325325,2023-07-01 11:07:33.329804,2023-07-01 11:10:25.721758,0 days 00:02:52.391954,4,7,0.0319,78,SGD,4,2,,transform_padding,COMPLETE,1,1
22,0.154342145,2023-07-01 11:10:25.721758,2023-07-01 11:13:17.991629,0 days 00:02:52.269871,4,7,0.0378,86,SGD,4,2,,transform_padding,COMPLETE,1,1
23,0.15019618,2023-07-01 11:13:17.991629,2023-07-01 11:16:10.692359,0 days 00:02:52.700730,4,7,0.0187,86,SGD,4,2,,transform_padding,COMPLETE,1,1
24,0.171523198,2023-07-01 11:16:10.692359,2023-07-01 11:19:03.009503,0 days 00:02:52.317144,4,7,0.0126,89,SGD,4,2,,transform_padding,COMPLETE,1,1
25,0.155457601,2023-07-01 11:19:03.009503,2023-07-01 11:21:55.510087,0 days 00:02:52.500584,4,7,0.0228,68,SGD,4,2,,transform_padding,COMPLETE,1,1
26,0.173235297,2023-07-01 11:21:55.510087,2023-07-01 11:24:47.735530,0 days 00:02:52.225443,4,7,0.0074,87,SGD,4,2,,transform_padding,COMPLETE,1,1
27,0.305507988,2023-07-01 11:24:47.735530,2023-07-01 11:26:11.209802,0 days 00:01:23.474272,4,3,0.0438,100,Adam,2,4,,transform_padding,COMPLETE,1,1
28,0.199678123,2023-07-01 11:26:11.210801,2023-07-01 11:30:27.111740,0 days 00:04:15.900939,3,5,0.0505,3,RMSprop,4,2,,transform_padding,COMPLETE,1,1
29,0.316451162,2023-07-01 11:30:27.111740,2023-07-01 11:31:49.144917,0 days 00:01:22.033177,4,7,0.0543,17,SGD,6,6,,transform_padding,COMPLETE,1,1
30,0.559845805,2023-07-01 11:31:49.144917,2023-07-01 11:33:55.548196,0 days 00:02:06.403279,5,7,0.0205,44,Adam,4,2,,transform_padding,COMPLETE,1,1
31,0.167118728,2023-07-01 11:33:55.548196,2023-07-01 11:36:49.419289,0 days 00:02:53.871093,4,7,0.02,63,SGD,4,2,,transform_padding,COMPLETE,1,1
32,0.151816338,2023-07-01 11:36:49.419289,2023-07-01 11:39:42.386577,0 days 00:02:52.967288,4,7,0.057,70,SGD,4,2,,transform_padding,COMPLETE,1,1
33,0.156551868,2023-07-01 11:39:42.386577,2023-07-01 11:42:35.027298,0 days 00:02:52.640721,4,7,0.0435,72,SGD,4,2,,transform_padding,COMPLETE,1,1
34,0.161196649,2023-07-01 11:42:35.027298,2023-07-01 11:45:27.860807,0 days 00:02:52.833509,4,7,0.0595,83,SGD,4,2,,transform_padding,COMPLETE,1,1
35,0.16341868,2023-07-01 11:45:27.860807,2023-07-01 11:47:29.899801,0 days 00:02:02.038994,5,7,0.0928,59,SGD,4,2,,transform_padding,COMPLETE,1,1
36,0.158587381,2023-07-01 11:47:29.899801,2023-07-01 11:50:21.024562,0 days 00:02:51.124761,4,7,0.0117,94,RMSprop,2,2,,transform_padding,COMPLETE,1,1
37,0.320189744,2023-07-01 11:50:21.024562,2023-07-01 11:51:44.550368,0 days 00:01:23.525806,4,7,0.067,83,SGD,4,6,,transform_padding,COMPLETE,1,1
38,0.553342223,2023-07-01 11:51:44.550368,2023-07-01 11:53:52.274865,0 days 00:02:07.724497,5,7,0.0253,73,Adam,4,2,,transform_padding,COMPLETE,1,1
39,0.18314217,2023-07-01 11:53:52.274865,2023-07-01 11:57:01.863595,0 days 00:03:09.588730,3,3,0.0534,92,SGD,2,2,,transform_padding,COMPLETE,1,1
40,0.272063076,2023-07-01 11:57:01.863595,2023-07-01 11:58:28.510493,0 days 00:01:26.646898,4,7,0.0114,82,RMSprop,4,4,,transform_padding,COMPLETE,1,1
41,0.15642029,2023-07-01 11:58:28.510493,2023-07-01 12:01:20.497213,0 days 00:02:51.986720,4,7,0.0235,69,SGD,4,2,,transform_padding,COMPLETE,1,1
0,0.556943417,2023-07-01 12:01:21.303537,2023-07-01 12:03:28.144261,0 days 00:02:06.840724,5,7,0.0635,38,Adam,4,2,,transform_padding,COMPLETE,2,1
1,10000,2023-07-01 12:03:28.144261,2023-07-01 12:03:28.151260,0 days 00:00:00.006999,5,7,0.0005,53,RMSprop,2,6,,transform_padding,COMPLETE,2,1
2,0.230499327,2023-07-01 12:03:28.151260,2023-07-01 12:05:31.476881,0 days 00:02:03.325621,5,7,0.0171,97,SGD,4,2,,transform_padding,COMPLETE,2,1
3,0.218057975,2023-07-01 12:05:31.476881,2023-07-01 12:08:25.040954,0 days 00:02:53.564073,4,7,0.0573,78,SGD,4,2,,transform_padding,COMPLETE,2,1
4,0.55430758,2023-07-01 12:08:25.040954,2023-07-01 12:09:51.208615,0 days 00:01:26.167661,3,3,0.0886,8,Adam,2,4,,transform_padding,COMPLETE,2,1
5,0.533987761,2023-07-01 12:09:51.208615,2023-07-01 12:11:56.368879,0 days 00:02:05.160264,5,7,0.0083,33,RMSprop,4,2,,transform_padding,COMPLETE,2,1
6,0.291022956,2023-07-01 12:11:56.369878,2023-07-01 12:13:22.125051,0 days 00:01:25.755173,3,7,0.0011,32,Adam,6,6,,transform_padding,COMPLETE,2,1
7,0.227107927,2023-07-01 12:13:22.125051,2023-07-01 12:15:05.010822,0 days 00:01:42.885771,5,5,0.017,54,Adam,2,2,,transform_padding,COMPLETE,2,1
8,0.244521707,2023-07-01 12:15:05.011823,2023-07-01 12:17:49.931553,0 days 00:02:44.919730,4,3,0.0065,52,RMSprop,6,2,,transform_padding,COMPLETE,2,1
9,0.307831168,2023-07-01 12:17:49.931553,2023-07-01 12:19:15.048100,0 days 00:01:25.116547,4,7,0.0876,49,SGD,4,4,,transform_padding,COMPLETE,2,1
10,0.450526088,2023-07-01 12:19:15.048100,2023-07-01 12:20:39.957782,0 days 00:01:24.909682,4,5,0,94,SGD,4,4,,transform_padding,COMPLETE,2,1
