number,value,datetime_start,datetime_complete,duration,blocks,kernel_size,learning_rate,modelSeed,optimizer,padding,stride,user_attrs_datatype,user_attrs_transform,state,inner_fold,outer_fold
34,0.152277976,2023-07-01 00:09:45.151014,2023-07-01 00:12:53.204268,0 days 00:03:08.053254,4,7,0.0208,100,SGD,4,2,,transform_padding,COMPLETE,0,0
35,0.156406164,2023-07-01 00:12:53.204268,2023-07-01 00:14:48.123845,0 days 00:01:54.919577,5,7,0.0597,83,SGD,2,2,,transform_padding,COMPLETE,0,0
36,0.286175251,2023-07-01 00:14:48.123845,2023-07-01 00:16:01.877890,0 days 00:01:13.754045,4,7,0.0093,43,RMSprop,4,6,,transform_padding,COMPLETE,0,0
37,0.545164764,2023-07-01 00:16:01.878890,2023-07-01 00:18:21.366163,0 days 00:02:19.487273,5,7,0.0201,92,Adam,4,2,,transform_padding,COMPLETE,0,0
38,0.193344116,2023-07-01 00:18:21.366163,2023-07-01 00:24:15.568193,0 days 00:05:54.202030,3,7,0.056,59,SGD,4,2,,transform_padding,COMPLETE,0,0
39,0.362155199,2023-07-01 00:24:15.568193,2023-07-01 00:25:28.071874,0 days 00:01:12.503681,4,3,0.0063,71,RMSprop,2,4,,transform_padding,COMPLETE,0,0
40,0.163124964,2023-07-01 00:25:28.071874,2023-07-01 00:27:53.292208,0 days 00:02:25.220334,5,7,0.0224,95,SGD,6,2,,transform_padding,COMPLETE,0,0
41,0.156831488,2023-07-01 00:27:53.292208,2023-07-01 00:31:21.604778,0 days 00:03:28.312570,4,7,0.0529,90,SGD,4,2,,transform_padding,COMPLETE,0,0
0,0.546434283,2023-07-01 00:31:22.328306,2023-07-01 00:33:47.865448,0 days 00:02:25.537142,5,7,0.0635,38,Adam,4,2,,transform_padding,COMPLETE,1,0
1,10000,2023-07-01 00:33:47.865448,2023-07-01 00:33:47.870450,0 days 00:00:00.005002,5,7,0.0005,53,RMSprop,2,6,,transform_padding,COMPLETE,1,0
2,0.167252153,2023-07-01 00:33:47.870450,2023-07-01 00:35:54.119684,0 days 00:02:06.249234,5,7,0.0171,97,SGD,4,2,,transform_padding,COMPLETE,1,0
3,0.151343763,2023-07-01 00:35:54.119684,2023-07-01 00:38:58.555194,0 days 00:03:04.435510,4,7,0.0573,78,SGD,4,2,,transform_padding,COMPLETE,1,0
4,0.295426279,2023-07-01 00:38:58.555194,2023-07-01 00:40:19.743618,0 days 00:01:21.188424,3,3,0.0886,8,Adam,2,4,,transform_padding,COMPLETE,1,0
5,0.54254818,2023-07-01 00:40:19.743618,2023-07-01 00:42:36.909260,0 days 00:02:17.165642,5,7,0.0083,33,RMSprop,4,2,,transform_padding,COMPLETE,1,0
6,0.249519095,2023-07-01 00:42:36.909260,2023-07-01 00:43:58.047183,0 days 00:01:21.137923,3,7,0.0011,32,Adam,6,6,,transform_padding,COMPLETE,1,0
7,0.515805483,2023-07-01 00:43:58.047183,2023-07-01 00:45:56.206370,0 days 00:01:58.159187,5,5,0.017,54,Adam,2,2,,transform_padding,COMPLETE,1,0
8,0.181128621,2023-07-01 00:45:56.206370,2023-07-01 00:49:16.659005,0 days 00:03:20.452635,4,3,0.0065,52,RMSprop,6,2,,transform_padding,COMPLETE,1,0
9,0.237940073,2023-07-01 00:49:16.659005,2023-07-01 00:50:36.915082,0 days 00:01:20.256077,4,7,0.0876,49,SGD,4,4,,transform_padding,COMPLETE,1,0
10,0.428892016,2023-07-01 00:50:36.915082,2023-07-01 00:51:54.361048,0 days 00:01:17.445966,4,5,0,94,SGD,4,4,,transform_padding,COMPLETE,1,0
11,0.157829359,2023-07-01 00:51:54.361048,2023-07-01 00:55:22.042523,0 days 00:03:27.681475,4,7,0.0137,99,SGD,4,2,,transform_padding,COMPLETE,1,0
12,0.185768813,2023-07-01 00:55:22.042523,2023-07-01 00:58:49.380040,0 days 00:03:27.337517,4,7,0.003,76,SGD,4,2,,transform_padding,COMPLETE,1,0
13,0.158028215,2023-07-01 00:58:49.380040,2023-07-01 01:02:16.593779,0 days 00:03:27.213739,4,7,0.0296,78,SGD,4,2,,transform_padding,COMPLETE,1,0
14,0.175525576,2023-07-01 01:02:16.593779,2023-07-01 01:05:08.912070,0 days 00:02:52.318291,4,3,0.0359,78,SGD,4,2,,transform_padding,COMPLETE,1,0
15,0.368054152,2023-07-01 01:05:08.912070,2023-07-01 01:06:21.127736,0 days 00:01:12.215666,4,5,0.0051,88,SGD,6,6,,transform_padding,COMPLETE,1,0
16,0.152034342,2023-07-01 01:06:21.127736,2023-07-01 01:09:48.892436,0 days 00:03:27.764700,4,7,0.0227,69,SGD,4,2,,transform_padding,COMPLETE,1,0
17,0.186414003,2023-07-01 01:09:48.892436,2023-07-01 01:16:26.092347,0 days 00:06:37.199911,3,7,0.0394,65,SGD,4,2,,transform_padding,COMPLETE,1,0
18,0.546576381,2023-07-01 01:16:26.092347,2023-07-01 01:17:36.393621,0 days 00:01:10.301274,4,3,0.0863,71,SGD,2,6,,transform_padding,COMPLETE,1,0
19,0.271876484,2023-07-01 01:17:36.393621,2023-07-01 01:18:53.108966,0 days 00:01:16.715345,4,5,0.0022,65,RMSprop,6,4,,transform_padding,COMPLETE,1,0
20,0.182480082,2023-07-01 01:18:53.108966,2023-07-01 01:24:58.505559,0 days 00:06:05.396593,3,7,0.0202,86,SGD,4,2,,transform_padding,COMPLETE,1,0
21,0.155460283,2023-07-01 01:24:58.505559,2023-07-01 01:28:26.304106,0 days 00:03:27.798547,4,7,0.0147,100,SGD,4,2,,transform_padding,COMPLETE,1,0
22,0.151719928,2023-07-01 01:28:26.304106,2023-07-01 01:31:51.206911,0 days 00:03:24.902805,4,7,0.0378,86,SGD,4,2,,transform_padding,COMPLETE,1,0
23,0.177628696,2023-07-01 01:31:51.206911,2023-07-01 01:35:15.060537,0 days 00:03:23.853626,4,7,0.0491,85,SGD,4,2,,transform_padding,COMPLETE,1,0
24,0.147485018,2023-07-01 01:35:15.060537,2023-07-01 01:38:38.710205,0 days 00:03:23.649668,4,7,0.0299,64,SGD,4,2,,transform_padding,COMPLETE,1,0
25,0.151007399,2023-07-01 01:38:38.711206,2023-07-01 01:42:02.671929,0 days 00:03:23.960723,4,7,0.0421,60,SGD,4,2,,transform_padding,COMPLETE,1,0
26,0.137891054,2023-07-01 01:42:02.671929,2023-07-01 01:45:09.082676,0 days 00:03:06.410747,4,7,0.0921,61,SGD,4,2,,transform_padding,COMPLETE,1,0
27,0.539664447,2023-07-01 01:45:09.082676,2023-07-01 01:46:24.244439,0 days 00:01:15.161763,4,3,0.0994,44,Adam,2,4,,transform_padding,COMPLETE,1,0
28,0.12341851,2023-07-01 01:46:24.244439,2023-07-01 01:52:24.106877,0 days 00:05:59.862438,3,5,0.008,62,RMSprop,4,2,,transform_padding,COMPLETE,1,0
29,0.277809083,2023-07-01 01:52:24.106877,2023-07-01 01:53:47.347530,0 days 00:01:23.240653,3,5,0.0071,39,RMSprop,6,6,,transform_padding,COMPLETE,1,0
30,0.155280769,2023-07-01 01:53:47.347530,2023-07-01 02:00:09.390981,0 days 00:06:22.043451,3,5,0.0116,25,RMSprop,4,2,,transform_padding,COMPLETE,1,0
31,0.301258743,2023-07-01 02:00:09.390981,2023-07-01 02:06:28.570412,0 days 00:06:19.179431,3,5,0.0507,56,RMSprop,4,2,,transform_padding,COMPLETE,1,0
32,0.132098645,2023-07-01 02:06:28.570412,2023-07-01 02:13:52.768181,0 days 00:07:24.197769,3,5,0.0287,62,RMSprop,4,2,,transform_padding,COMPLETE,1,0
33,0.123731688,2023-07-01 02:13:52.768181,2023-07-01 02:21:25.351908,0 days 00:07:32.583727,3,5,0.0241,61,RMSprop,4,2,,transform_padding,COMPLETE,1,0
34,0.178625345,2023-07-01 02:21:25.352934,2023-07-01 02:26:57.433367,0 days 00:05:32.080433,3,5,0.0216,46,RMSprop,4,2,,transform_padding,COMPLETE,1,0
35,0.152354032,2023-07-01 02:26:57.433367,2023-07-01 02:32:42.541993,0 days 00:05:45.108626,3,5,0.0108,60,RMSprop,4,2,,transform_padding,COMPLETE,1,0
36,0.286637187,2023-07-01 02:32:42.541993,2023-07-01 02:38:18.148703,0 days 00:05:35.606710,3,5,0.0598,58,RMSprop,2,2,,transform_padding,COMPLETE,1,0
37,0.388956428,2023-07-01 02:38:18.148703,2023-07-01 02:39:35.907921,0 days 00:01:17.759218,3,5,0.0243,71,RMSprop,4,6,,transform_padding,COMPLETE,1,0
38,0.546551704,2023-07-01 02:39:35.907921,2023-07-01 02:41:32.296182,0 days 00:01:56.388261,5,5,0.0647,20,RMSprop,4,2,,transform_padding,COMPLETE,1,0
39,0.151241392,2023-07-01 02:41:32.296182,2023-07-01 02:45:54.224516,0 days 00:04:21.928334,3,5,0.0087,40,RMSprop,2,2,,transform_padding,COMPLETE,1,0
40,0.224356875,2023-07-01 02:45:54.224516,2023-07-01 02:47:30.619624,0 days 00:01:36.395108,3,5,0.0044,50,RMSprop,4,4,,transform_padding,COMPLETE,1,0
41,0.546242237,2023-07-01 02:47:30.619624,2023-07-01 02:49:49.714987,0 days 00:02:19.095363,5,5,0.0284,63,Adam,4,2,,transform_padding,COMPLETE,1,0
0,0.551561236,2023-07-01 02:49:50.490510,2023-07-01 02:52:36.346531,0 days 00:02:45.856021,5,7,0.0635,38,Adam,4,2,,transform_padding,COMPLETE,2,0
1,10000,2023-07-01 02:52:36.346531,2023-07-01 02:52:36.351532,0 days 00:00:00.005001,5,7,0.0005,53,RMSprop,2,6,,transform_padding,COMPLETE,2,0
2,0.211930081,2023-07-01 02:52:36.351532,2023-07-01 02:55:42.055315,0 days 00:03:05.703783,5,7,0.0171,97,SGD,4,2,,transform_padding,COMPLETE,2,0
3,0.202679813,2023-07-01 02:55:42.055315,2023-07-01 03:00:14.157359,0 days 00:04:32.102044,4,7,0.0573,78,SGD,4,2,,transform_padding,COMPLETE,2,0
4,0.423442781,2023-07-01 03:00:14.157359,2023-07-01 03:01:56.376233,0 days 00:01:42.218874,3,3,0.0886,8,Adam,2,4,,transform_padding,COMPLETE,2,0
5,0.439876735,2023-07-01 03:01:56.376233,2023-07-01 03:04:43.289940,0 days 00:02:46.913707,5,7,0.0083,33,RMSprop,4,2,,transform_padding,COMPLETE,2,0
6,0.298419476,2023-07-01 03:04:43.290941,2023-07-01 03:06:00.927193,0 days 00:01:17.636252,3,7,0.0011,32,Adam,6,6,,transform_padding,COMPLETE,2,0
7,0.278390527,2023-07-01 03:06:00.927193,2023-07-01 03:07:50.268661,0 days 00:01:49.341468,5,5,0.017,54,Adam,2,2,,transform_padding,COMPLETE,2,0
8,0.222548008,2023-07-01 03:07:50.268661,2023-07-01 03:10:44.896106,0 days 00:02:54.627445,4,3,0.0065,52,RMSprop,6,2,,transform_padding,COMPLETE,2,0
9,0.315254658,2023-07-01 03:10:44.896106,2023-07-01 03:12:01.205171,0 days 00:01:16.309065,4,7,0.0876,49,SGD,4,4,,transform_padding,COMPLETE,2,0
10,0.434639901,2023-07-01 03:12:01.205171,2023-07-01 03:13:17.641884,0 days 00:01:16.436713,4,5,0,94,SGD,4,4,,transform_padding,COMPLETE,2,0
11,0.216519386,2023-07-01 03:13:17.641884,2023-07-01 03:17:09.068727,0 days 00:03:51.426843,4,7,0.0137,99,SGD,4,2,,transform_padding,COMPLETE,2,0
12,0.216538236,2023-07-01 03:17:09.068727,2023-07-01 03:20:16.236484,0 days 00:03:07.167757,5,7,0.0266,78,SGD,4,2,,transform_padding,COMPLETE,2,0
13,0.230770439,2023-07-01 03:20:16.236484,2023-07-01 03:24:47.857436,0 days 00:04:31.620952,4,7,0.003,80,SGD,4,2,,transform_padding,COMPLETE,2,0
14,0.239011645,2023-07-01 03:24:47.857436,2023-07-01 03:30:47.167810,0 days 00:05:59.310374,3,3,0.0285,80,SGD,4,2,,transform_padding,COMPLETE,2,0
15,0.424771547,2023-07-01 03:30:47.167810,2023-07-01 03:32:07.539614,0 days 00:01:20.371804,5,5,0.0349,69,SGD,6,6,,transform_padding,COMPLETE,2,0
16,0.22381483,2023-07-01 03:32:07.539614,2023-07-01 03:36:38.531919,0 days 00:04:30.992305,4,7,0.0038,90,SGD,4,2,,transform_padding,COMPLETE,2,0
