datatype,transform,modelSeed,learning_rate,optimizer_name,blocks,padding,stride,kernel_size,real_best_mae_epoch,real_best_mae,tbdir
,transform_padding,38,0.063512210106407,Adam,5,4,2,7,1,0.5440368056297302,
,transform_padding,97,0.0171233759731639,SGD,5,4,2,7,28,0.1720343679189682,
,transform_padding,78,0.0572790447079962,SGD,4,4,2,7,28,0.1473646014928817,
,transform_padding,8,0.0886232650857624,Adam,3,2,4,3,29,0.3485135734081268,
,transform_padding,33,0.0082875223637681,RMSprop,5,4,2,7,29,0.4793767929077148,
,transform_padding,32,0.0010821382910613,Adam,3,6,6,7,19,0.2684804201126098,
,transform_padding,54,0.016973078532467,Adam,5,2,2,5,29,0.2246482372283935,
,transform_padding,52,0.0064874770660586,RMSprop,4,6,2,3,28,0.2163457125425338,
,transform_padding,49,0.0876197110102369,SGD,4,4,4,7,28,0.3170599937438965,
,transform_padding,94,2.0708485661206484e-05,SGD,4,4,4,5,8,0.4492289423942566,
,transform_padding,99,0.0136939864723756,SGD,4,4,2,7,29,0.1550282090902328,
,transform_padding,76,0.0030070162326071,SGD,4,4,2,7,26,0.1958501785993576,
,transform_padding,78,0.0295639882241421,SGD,4,4,2,7,22,0.1549938917160034,
,transform_padding,70,0.0359286105947178,SGD,4,4,2,3,18,0.2115643471479416,
,transform_padding,79,0.0336400390325894,SGD,4,6,6,5,29,0.3867521286010742,
,transform_padding,84,0.0910492703880982,SGD,4,4,2,7,23,0.145437404513359,
,transform_padding,65,0.0852598623416662,SGD,3,4,2,7,19,0.1787056773900985,
,transform_padding,87,0.0038985908561516,SGD,4,2,6,3,0,0.5470277667045593,
,transform_padding,64,0.0328999009404944,RMSprop,4,6,4,5,9,0.546867847442627,
,transform_padding,88,0.0976199944613017,SGD,3,4,2,7,10,0.2045891731977462,
,transform_padding,78,0.0318807088741989,SGD,4,4,2,7,29,0.1512757390737533,
,transform_padding,86,0.0378133557201923,SGD,4,4,2,7,29,0.1607300490140915,
