datatype,transform,modelSeed,learning_rate,optimizer_name,blocks,padding,stride,kernel_size,val_best_mae_epoch,val_best_mae,real_best_mae_epoch,real_best_mae,tbdir
random_pearson,transform_padding,77,0.0030070162326071,SGD,4,2,2,5,28,0.2070489525794983,26,0.2477554380893707,
random_pearson,transform_padding,74,0.0295639882241421,Adam,4,2,2,5,28,0.0570320300757885,27,0.1560016870498657,
random_pearson,transform_padding,72,0.0359286105947178,SGD,4,6,2,5,29,0.0658261552453041,25,0.1692107021808624,
random_pearson,transform_padding,85,0.0051294545090415,Adam,4,2,6,3,23,0.990058660507202,24,0.4823046922683716,
random_pearson,transform_padding,68,0.022729045088307,SGD,4,4,2,5,28,0.0787737444043159,23,0.1866410970687866,
random_pearson,transform_padding,88,0.0856526837989685,SGD,3,4,2,7,29,0.0501409880816936,8,0.1893086731433868,
random_pearson,transform_padding,63,0.0136499549090425,Adam,4,2,6,5,27,0.202087327837944,22,0.3818791806697845,
random_pearson,transform_padding,81,0.0022073586476372,RMSprop,4,6,4,3,26,0.1512099206447601,8,0.3449798226356506,
random_pearson,transform_padding,100,0.0372641883023585,SGD,3,2,2,5,26,0.0666877329349517,29,0.2025983035564422,
random_pearson,transform_padding,63,0.035581192868777,Adam,4,2,2,5,29,0.0527348034083843,29,0.1583622545003891,
random_pearson,transform_padding,74,0.0107252932267854,Adam,4,2,2,5,29,0.0540537163615226,27,0.1620111316442489,
random_pearson,transform_padding,89,0.0292950171235196,Adam,4,2,2,5,27,0.0547904185950756,22,0.1592600345611572,
random_pearson,transform_padding,63,0.0299279909219138,Adam,4,2,2,5,29,0.0549165569245815,25,0.1663616895675659,
random_pearson,transform_padding,80,0.049624259553013,Adam,4,4,2,7,26,0.060330606997013,24,0.1545028388500213,
random_pearson,transform_padding,80,0.0560179565546443,Adam,4,4,2,7,28,0.058136872947216,24,0.15822334587574,
random_pearson,transform_padding,91,0.0993513810194266,RMSprop,4,4,4,7,28,0.0766692981123924,24,0.2175647616386413,
random_pearson,transform_padding,3,0.0136442332921951,Adam,3,4,2,7,27,0.0485694929957389,18,0.1654057502746582,
random_pearson,transform_padding,45,0.0488796560393478,SGD,4,4,6,7,26,0.1901802271604538,18,0.3053348660469055,
random_pearson,transform_padding,68,0.0533433937087264,Adam,5,4,2,7,20,0.9889363050460817,26,0.5150424838066101,
random_pearson,transform_padding,83,0.02513307811628,Adam,4,2,2,5,28,0.0552998483180999,15,0.1527498960494995,
random_pearson,transform_padding,84,0.0192996034452025,Adam,4,4,2,7,27,0.0529434606432914,26,0.144018292427063,
random_pearson,transform_padding,84,0.0198108399624905,Adam,4,2,2,7,28,0.0536763221025466,26,0.146283358335495,
random_pearson,transform_padding,94,0.0094484527025364,Adam,4,4,2,7,28,0.0603580772876739,29,0.150237575173378,
random_pearson,transform_padding,57,0.0055564258760024,Adam,5,2,2,7,29,0.0586705729365348,28,0.1558624058961868,
random_pearson,transform_padding,24,0.018942833454912,RMSprop,4,6,6,7,29,0.1040792614221572,23,0.2858045399188995,
random_pearson,transform_padding,100,0.0148001485967706,Adam,5,4,2,7,29,0.0682175233960151,29,0.1578063368797302,
random_pearson,transform_padding,86,0.008591392774396,SGD,3,2,2,3,27,0.1001263856887817,21,0.2559215426445007,
random_pearson,transform_padding,67,0.0168747634635586,Adam,4,4,4,7,29,0.0664274096488952,25,0.211869865655899,
random_pearson,transform_padding,42,0.0655793923460549,RMSprop,5,6,2,7,21,0.9894415140151978,20,0.5180427432060242,
random_pearson,transform_padding,94,0.009241682289844776,Adam,4,4,2,7,29,0.0664641410112381,29,0.1541362702846527,
