img,template,label,black,MatchEGMNetwork,MatchEGMAlgorithm
static/images\2_img_0_temp_img0.png,static/images\2_temp_0_img_img0.png,,True,0.63,0.6
static/images/8_img_4_img_20230418_192700.jpg,static/images/8_temp_3_temp_20230418_192741.jpg,0.4,True,0.87,0.1
static/images/9_img_5_img_20230418_193212.jpg,static/images/9_temp_8_temp_3_temp_20230418_192741.jpg,0.2,True,0.92,0.13
